,Year,Month,Day,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target,Effective Federal Funds Rate,Real GDP (Percent Change),Unemployment Rate,Inflation Rate
193,1970,8,1,,,,6.61,,5.1,6.2
194,1970,9,1,,,,6.29,,5.4,6.2
195,1970,10,1,,,,6.2,-4.0,5.5,6.4
196,1970,11,1,,,,5.6,,5.9,6.6
197,1970,12,1,,,,4.9,,6.1,6.6
198,1971,1,1,,,,4.14,11.1,5.9,6.3
199,1971,2,1,,,,3.72,,5.9,5.8
200,1971,3,1,,,,3.71,,6.0,5.2
201,1971,4,1,,,,4.15,2.3,5.9,5.0
202,1971,5,1,,,,4.63,,5.9,5.2
203,1971,6,1,,,,4.91,,5.9,4.9
204,1971,7,1,,,,5.31,3.2,6.0,4.9
205,1971,8,1,,,,5.56,,6.1,4.6
206,1971,9,1,,,,5.55,,6.0,4.4
207,1971,10,1,,,,5.2,1.2,5.8,3.8
208,1971,11,1,,,,4.91,,6.0,3.3
209,1971,12,1,,,,4.14,,6.0,3.1
210,1972,1,1,,,,3.5,7.4,5.8,3.1
211,1972,2,1,,,,3.29,,5.7,3.3
212,1972,3,1,,,,3.83,,5.8,3.3
213,1972,4,1,,,,4.17,9.6,5.7,3.3
214,1972,5,1,,,,4.27,,5.7,3.1
215,1972,6,1,,,,4.46,,5.7,2.8
216,1972,7,1,,,,4.55,3.7,5.6,2.8
217,1972,8,1,,,,4.8,,5.6,3.3
218,1972,9,1,,,,4.87,,5.5,2.8
219,1972,10,1,,,,5.04,6.8,5.6,3.0
220,1972,11,1,,,,5.06,,5.3,3.0
221,1972,12,1,,,,5.33,,5.2,3.0
222,1973,1,1,,,,5.94,10.2,4.9,2.8
223,1973,2,1,,,,6.58,,5.0,2.8
224,1973,3,1,,,,7.09,,4.9,3.0
225,1973,4,1,,,,7.12,4.6,5.0,3.2
226,1973,5,1,,,,7.84,,4.9,3.2
227,1973,6,1,,,,8.49,,4.9,3.2
228,1973,7,1,,,,10.4,-2.2,4.8,3.2
229,1973,8,1,,,,10.5,,4.8,3.2
230,1973,9,1,,,,10.78,,4.8,3.8
231,1973,10,1,,,,10.01,3.8,4.6,4.3
232,1973,11,1,,,,10.03,,4.8,4.5
233,1973,12,1,,,,9.95,,4.9,4.7
234,1974,1,1,,,,9.65,-3.3,5.1,4.9
235,1974,2,1,,,,8.97,,5.2,5.4
236,1974,3,1,,,,9.35,,5.1,5.8
237,1974,4,1,,,,10.51,1.1,5.1,6.2
238,1974,5,1,,,,11.31,,5.1,6.8
239,1974,6,1,,,,11.93,,5.4,7.9
240,1974,7,1,,,,12.92,-3.8,5.5,8.8
241,1974,8,1,,,,12.01,,5.5,9.6
242,1974,9,1,,,,11.34,,5.9,10.2
243,1974,10,1,,,,10.06,-1.6,6.0,10.6
244,1974,11,1,,,,9.45,,6.6,11.2
245,1974,12,1,,,,8.53,,7.2,11.1
246,1975,1,1,,,,7.13,-4.7,8.1,11.5
247,1975,2,1,,,,6.24,,8.1,11.7
248,1975,3,1,,,,5.54,,8.6,11.4
249,1975,4,1,,,,5.49,3.1,8.8,11.3
250,1975,5,1,,,,5.22,,9.0,10.5
251,1975,6,1,,,,5.55,,8.8,9.6
252,1975,7,1,,,,6.1,6.8,8.6,9.1
253,1975,8,1,,,,6.14,,8.4,8.2
254,1975,9,1,,,,6.24,,8.4,7.7
255,1975,10,1,,,,5.82,5.5,8.4,7.0
256,1975,11,1,,,,5.22,,8.3,6.8
257,1975,12,1,,,,5.2,,8.2,6.7
258,1976,1,1,,,,4.87,9.3,7.9,6.7
259,1976,2,1,,,,4.77,,7.7,6.5
260,1976,3,1,,,,4.84,,7.6,6.6
261,1976,4,1,,,,4.82,3.1,7.7,6.4
262,1976,5,1,,,,5.29,,7.4,6.5
263,1976,6,1,,,,5.48,,7.6,6.5
264,1976,7,1,,,,5.31,2.1,7.8,6.7
265,1976,8,1,,,,5.29,,7.8,6.8
266,1976,9,1,,,,5.25,,7.6,6.8
267,1976,10,1,,,,5.02,3.0,7.7,6.7
268,1976,11,1,,,,4.95,,7.8,6.5
269,1976,12,1,,,,4.65,,7.8,6.1
270,1977,1,1,,,,4.61,4.7,7.5,6.3
271,1977,2,1,,,,4.68,,7.6,6.3
272,1977,3,1,,,,4.69,,7.4,6.2
273,1977,4,1,,,,4.73,8.1,7.2,6.3
274,1977,5,1,,,,5.35,,7.0,6.3
275,1977,6,1,,,,5.39,,7.2,6.6
276,1977,7,1,,,,5.42,7.3,6.9,6.3
277,1977,8,1,,,,5.9,,7.0,6.2
278,1977,9,1,,,,6.14,,6.8,6.2
279,1977,10,1,,,,6.47,0.0,6.8,6.0
280,1977,11,1,,,,6.51,,6.8,5.9
281,1977,12,1,,,,6.56,,6.4,6.5
282,1978,1,1,,,,6.7,1.4,6.4,6.4
283,1978,2,1,,,,6.78,,6.3,6.2
284,1978,3,1,,,,6.79,,6.3,6.3
285,1978,4,1,,,,6.89,16.5,6.1,6.5
286,1978,5,1,,,,7.36,,6.0,6.8
287,1978,6,1,,,,7.6,,5.9,7.0
288,1978,7,1,,,,7.81,4.0,6.2,7.4
289,1978,8,1,,,,8.04,,5.9,7.5
290,1978,9,1,,,,8.45,,6.0,7.9
291,1978,10,1,,,,8.96,5.5,5.8,8.4
292,1978,11,1,,,,9.76,,5.9,8.7
293,1978,12,1,,,,10.03,,6.0,8.5
294,1979,1,1,,,,10.07,0.8,5.9,8.6
295,1979,2,1,,,,10.06,,5.9,9.2
296,1979,3,1,,,,10.09,,5.8,9.3
297,1979,4,1,,,,10.01,0.5,5.8,9.3
298,1979,5,1,,,,10.24,,5.6,9.4
299,1979,6,1,,,,10.29,,5.7,9.3
300,1979,7,1,,,,10.47,2.9,5.7,9.6
301,1979,8,1,,,,10.94,,6.0,10.0
302,1979,9,1,,,,11.43,,5.9,9.9
303,1979,10,1,,,,13.77,1.0,6.0,10.1
304,1979,11,1,,,,13.18,,5.9,10.6
305,1979,12,1,,,,13.78,,6.0,11.3
306,1980,1,1,,,,13.82,1.3,6.3,12.0
307,1980,2,1,,,,14.13,,6.3,12.0
308,1980,3,1,,,,17.19,,6.3,12.5
309,1980,4,1,,,,17.61,-7.9,6.9,13.0
310,1980,5,1,,,,10.98,,7.5,13.3
311,1980,6,1,,,,9.47,,7.6,13.6
312,1980,7,1,,,,9.03,-0.6,7.8,12.4
313,1980,8,1,,,,9.61,,7.7,11.8
314,1980,9,1,,,,10.87,,7.5,12.0
315,1980,10,1,,,,12.81,7.6,7.5,12.3
316,1980,11,1,,,,15.85,,7.5,12.1
317,1980,12,1,,,,18.9,,7.2,12.2
318,1981,1,1,,,,19.08,8.5,7.5,11.4
319,1981,2,1,,,,15.93,,7.4,10.9
320,1981,3,1,,,,14.7,,7.4,10.0
321,1981,4,1,,,,15.72,-2.9,7.2,9.5
322,1981,5,1,,,,18.52,,7.5,9.5
323,1981,6,1,,,,19.1,,7.5,9.4
